[2025-11-09 07:46:36] Blocked URL: https://news.ifeng.com/c/8o52po2QISf | Reason: Invalid Title | Detail: Title: 404
[2025-11-09 07:46:43] Blocked URL: https://www.wenxuecity.com/news/2025/11/07/126401373.html | Reason: GFWList Blacklist | Detail: Matched Rule: wenxuecity.com
[2025-11-09 07:46:52] Blocked URL: https://www.wenxuecity.com/news/2025/11/06/126400489.html | Reason: GFWList Blacklist | Detail: Matched Rule: wenxuecity.com
[2025-11-09 07:48:13] Blocked URL: http://tt.sina.cn/article_2309405032492968050792.html?COLLCC=2074640705&cre=tianyi&mod=wpage&loc=1&r=0&rfunc=89&tj=cxvideo_wpage&tr=381 | Reason: Invalid Site Name | Detail: Site Name: tt.sina.cn
[2025-11-09 07:48:15] Blocked URL: https://www.douyin.com/search/%E6%96%B0%E5%A8%98%E6%8D%A2%E8%A3%85%E6%95%AC%E9%85%92%E5%AE%BE%E5%AE%A2%E5%B7%B2%E8%B5%B0 | Reason: Invalid Site Name | Detail: Site Name: douyin.com
[2025-11-09 07:48:17] Blocked URL: https://www.douyin.com/video/7568351303434558638 | Reason: Invalid Site Name | Detail: Site Name: douyin.com
[2025-11-09 07:48:19] Blocked URL: http://h5.m.jia.com/zixun/article/435125.html | Reason: Invalid Title | Detail: Title: 
[2025-11-09 07:48:33] Blocked URL: https://hk.news.yahoo.com/%E5%8A%89%E5%AE%B6%E8%89%AF%E9%AA%A8%E7%81%B0%E8%A2%AB%E7%9B%9C%EF%BD%9Co-%E8%A8%98%E6%9F%A5%E5%90%8D%E4%BA%BA%E9%AA%A8%E7%81%B0%E7%9B%9C%E7%AB%8A%E6%A1%88-%E5%AF%B6%E7%A6%8F%E5%B1%B1%EF%BC%9A%E4%BA%8B%E4%BB%B6%E8%A4%87%E9%9B%9C%E6%AD%A3%E9%85%8D%E5%90%88%E8%AD%A6%E6%96%B9%E8%AA%BF%E6%9F%A5%EF%BD%9Cyahoo-053227197.html | Reason: GFWList Blacklist | Detail: Matched Rule: yahoo.com
[2025-11-09 07:48:41] Blocked URL: https://n.kinliu.hk/kinliuhknews/%E5%8A%89%E5%AE%B6%E8%89%AF%E5%8F%8A%E5%A4%9A%E5%90%8D%E5%85%88%E4%BA%BA%E5%AF%B6%E7%A6%8F%E5%B1%B1%E9%AA%A8%E7%81%B0%E9%81%AD%E5%8B%92%E7%B4%A2%E7%9B%9C%E8%B5%B0%E3%80%80%E7%BF%81%E9%9D%9C%E6%99%B6/ | Reason: TLD Whitelist | Detail: URL: https://n.kinliu.hk/kinliuhknews/%E5%8A%89%E5%AE%B6%E8%89%AF%E5%8F%8A%E5%A4%9A%E5%90%8D%E5%85%88%E4%BA%BA%E5%AF%B6%E7%A6%8F%E5%B1%B1%E9%AA%A8%E7%81%B0%E9%81%AD%E5%8B%92%E7%B4%A2%E7%9B%9C%E8%B5%B0%E3%80%80%E7%BF%81%E9%9D%9C%E6%99%B6/
[2025-11-09 07:48:49] Blocked URL: https://news.mingpao.com/pns/%E8%A6%81%E8%81%9E/article/20251105/s00001/1762278968650/%E5%8A%89%E5%AE%B6%E8%89%AF%E7%AD%89%E5%A4%9A%E4%BA%BA%E9%AA%A8%E7%81%B0%E5%AF%B6%E7%A6%8F%E5%B1%B1%E8%A2%AB%E7%9B%9C-o%E8%A8%98%E6%8B%98%E4%B8%80%E4%BA%BA-%E7%BF%81%E9%9D%9C%E6%99%B6-%E4%B8%8D%E6%9C%83%E4%BA%A4%E8%B4%96%E6%AC%BE | Reason: GFWList Blacklist | Detail: Matched Rule: mingpao.com
[2025-11-09 07:48:56] Blocked URL: https://tw.news.yahoo.com/%E9%A6%99%E6%B8%AF%E5%90%8D%E4%BA%BA%E9%AA%A8%E7%81%B0%E9%A9%9A%E5%82%B3%E8%A2%AB%E7%9B%9C%E5%8B%92%E7%B4%A2-%E6%AD%A6%E8%A1%93%E5%90%8D%E5%B0%8E%E5%8A%89%E5%AE%B6%E8%89%AF%E9%9D%88%E4%BD%8D%E6%85%98%E9%81%AD%E7%9B%9C-%E6%9F%AC%E5%9F%94%E5%AF%A8%E8%A9%90%E5%9C%98%E7%96%91%E6%B6%89%E6%A1%88-100740820.html | Reason: GFWList Blacklist | Detail: Matched Rule: yahoo.com
[2025-11-09 07:49:06] Blocked URL: https://www.zaobao.com.sg/entertainment/story20251104-7765805 | Reason: GFWList Blacklist | Detail: Matched Rule: zaobao.com.sg
[2025-11-09 07:49:09] Blocked URL: https://www.jfdaily.com/staticsg/res/html/web/newsDetail.html?id=1012406 | Reason: Invalid Title | Detail: Title: 
[2025-11-09 07:49:21] Blocked URL: https://today.line.me/hk/v3/article/x2kX6Le | Reason: GFWList Blacklist | Detail: Matched Rule: line.me
[2025-11-09 07:49:25] Blocked URL: https://www.epochtimes.com/b5/25/11/4/n14629371.htm | Reason: GFWList Blacklist | Detail: Matched Rule: epochtimes.com
